CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",47.583749,-122.401497,2021-09-05,Alive,Y,,Y
"Seal, harbor",48.0,-123,2021-09-06,Condition Unknown,,,CBD
"Seal, harbor",48.0,-123,2021-09-07,Moderate Decomposition,,,CBD
"Seal, harbor",48.3504,-123.0982,2021-09-07,Fresh Dead,,,N
"Seal, harbor",47.0,-123,2021-09-08,Fresh Dead,,,CBD
"Seal, harbor",47.0,-123,2021-09-08,Moderate Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-09-08,Advanced Decomposition,,,CBD
"Seal, harbor",47.560207,-122.404061,2021-09-08,Moderate Decomposition,,,CBD
"Seal, harbor",48.0,-125,2021-09-09,Moderate Decomposition,,,CBD
"Seal, harbor",48.571,-123.0199,2021-09-09,Fresh Dead,,,N
"Seal, harbor",48.044231,-122.767102,2021-09-10,Condition Unknown,,,CBD
"Seal, harbor",48.726264,-122.7201,2021-09-10,Mummified/Skeletal,,,CBD
"Seal, harbor",47.0,-122,2021-09-10,Moderate Decomposition,,,Y
"Seal, harbor",47.0,-122,2021-09-10,Moderate Decomposition,,,Y
"Seal, harbor",47.0,-122,2021-09-10,Condition Unknown,,,CBD
"Seal, harbor",48.0,-123,2021-09-10,Condition Unknown,,,CBD
"Seal, harbor",47.0,-123,2021-09-10,Condition Unknown,,,CBD
"Seal, harbor",47.0,-123,2021-09-10,Condition Unknown,,,CBD
"Seal, harbor",47.0,-123,2021-09-10,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-09-11,Moderate Decomposition,,,Y
"Seal, harbor",47.0,-123,2021-09-11,Condition Unknown,,,CBD
"Seal, harbor",48.128,-123.457,2021-09-11,Alive,,,CBD
"Seal, harbor",48.0,-123,2021-09-12,Condition Unknown,,,CBD
"Seal, harbor",47.0,-123,2021-09-14,Fresh Dead,,,N
"Seal, harbor",47.0,-123,2021-09-14,Moderate Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-09-14,Advanced Decomposition,,,CBD
"Seal, harbor",48.6418,-122.7802,2021-09-14,Moderate Decomposition,,,CBD
"Seal, harbor",48.4312,-122.8773,2021-09-15,Moderate Decomposition,,,N
"Seal, harbor",47.563389,-122.345262,2021-09-15,Advanced Decomposition,,,CBD
"Seal, harbor",48.5191,-123.012,2021-09-16,Moderate Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-09-17,Moderate Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-09-17,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-09-18,Moderate Decomposition,,,CBD
"Seal, harbor",48.0,-125,2021-09-19,Fresh Dead,,,CBD
"Seal, harbor",48.0,-123,2021-09-19,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-09-19,Advanced Decomposition,,,CBD
"Seal, harbor",47.45729,-122.509388,2021-09-20,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-125,2021-09-21,Advanced Decomposition,,,CBD
"Seal, harbor",48.5842,-123.0458,2021-09-21,Advanced Decomposition,,,CBD
"Seal, harbor",48.0,-123,2021-09-23,Mummified/Skeletal,,,CBD
"Seal, harbor",48.0,-123,2021-09-23,Condition Unknown,,,CBD
"Seal, harbor",,,2021-09-24,Advanced Decomposition,,,N
"Seal, harbor",47.0,-122,2021-09-28,Moderate Decomposition,,,CBD
"Seal, harbor",47.0,-124,2021-09-29,Fresh Dead,,,Y
"Seal, harbor",48.100833,-122.687778,2021-10-01,Moderate Decomposition,,,CBD
"Seal, harbor",47.59045,-122.3935,2021-10-01,Advanced Decomposition,,,CBD
"Seal, harbor",47.0,-123,2021-10-01,Fresh Dead,,,Y
